site_id,site_name,city,country,project_type,address,latitude,longitude,manager_id,risk_level,terrain,is_snow_prone,is_mining_region,site_start_date,site_expected_end_date,workforce_count,machinery_slots,status
SITE0138,Cologne Nord-Sued Stadtbahn,Cologne,Germany,Metro,"619 Industrial Rd, Cologne",50.9953,6.9416,MGR0059,High,Coastal,True,False,2022-01-31,2023-09-24,404,24,active
SITE0139,MBTA Green Line Extension Medford,Seattle,USA,Metro,"446 Industrial Rd, Seattle",47.6256,-122.3097,MGR0097,Medium,Hilly,True,False,2022-11-16,2025-01-30,480,13,active
SITE0140,MBTA Green Line Extension Medford,Chicago,USA,Metro,"926 Industrial Rd, Chicago",41.8295,-87.6104,MGR0018,Medium,Coastal,True,False,2022-11-16,2025-02-23,428,34,active
SITE0141,A14 Nordverlaengerung,Stuttgart,Germany,Highway,"252 Industrial Rd, Stuttgart",48.8851,9.2397,MGR0031,High,Desert,True,False,2021-10-03,2023-01-16,123,23,active
SITE0142,LA Metro Purple Line Phase 3,Seattle,USA,Metro,"613 Industrial Rd, Seattle",47.5642,-122.2152,MGR0082,Low,Urban,True,False,2021-09-15,2023-02-21,584,35,active
SITE0143,Delhi Metro Yellow Line Extension,Jamshedpur,India,Metro,"170 Industrial Rd, Jamshedpur",22.8391,86.2241,MGR0034,Low,Flat,False,True,2022-01-19,2025-11-21,169,40,active
SITE0144,Reliance Corporate Park BKC,Mumbai,India,Building,"460 Industrial Rd, Mumbai",19.0711,72.9118,MGR0098,Medium,Urban,False,False,2021-11-17,2023-01-05,491,27,active
SITE0145,LAX Terminal 9 Modernization,Chicago,USA,Airport,"905 Industrial Rd, Chicago",41.8837,-87.6288,MGR0099,Medium,Coastal,True,False,2021-06-21,2023-02-28,463,37,active
SITE0146,Coal India Korba Mine Ext,Raipur,India,Mining,"956 Industrial Rd, Raipur",21.2447,81.6783,MGR0093,High,Rocky,False,True,2022-09-25,2024-08-04,696,33,active
SITE0147,Leverkusener Rheinbruecke Replacement,Dortmund,Germany,Bridge,"283 Industrial Rd, Dortmund",51.5567,7.4578,MGR0039,Low,Flat,True,True,2022-08-29,2025-10-23,65,24,active
SITE0148,Ahmedabad-Dholera Expressway,Chennai,India,Highway,"438 Industrial Rd, Chennai",13.0068,80.2725,MGR0034,Medium,Rocky,False,False,2021-10-01,2023-08-07,235,5,active
SITE0149,Fortescue Solomon Hub Extension,Brisbane,Australia,Mining,"480 Industrial Rd, Brisbane",-27.5057,153.0014,MGR0072,High,Hilly,False,False,2022-09-26,2024-12-17,708,36,active
SITE0150,Vedanta Rampura Agucha Zinc Mine,Kolkata,India,Mining,"591 Industrial Rd, Kolkata",22.5664,88.3109,MGR0075,Medium,Desert,False,False,2021-08-09,2024-01-19,358,25,active
SITE0151,Meta Prineville Data Center,Atlanta,USA,Building,"232 Industrial Rd, Atlanta",33.6685,-84.3734,MGR0099,High,Coastal,False,False,2021-04-03,2023-08-18,514,22,active
SITE0152,Ganga Setu Foundation Works,Raipur,India,Bridge,"821 Industrial Rd, Raipur",21.2527,81.629,MGR0010,High,Flat,False,True,2021-04-06,2023-12-12,171,40,active
SITE0153,Ahmedabad-Dholera Expressway,Bengaluru,India,Highway,"518 Industrial Rd, Bengaluru",12.9971,77.5616,MGR0024,Low,Desert,False,False,2022-08-24,2026-09-07,429,31,active
SITE0154,I-35 North Extension Austin Segment 4,Chicago,USA,Highway,"972 Industrial Rd, Chicago",41.8947,-87.5629,MGR0019,High,Flat,True,False,2021-03-04,2024-11-13,341,8,active
SITE0155,Gerald Desmond Replacement Bridge Rehab,Minneapolis,USA,Bridge,"961 Industrial Rd, Minneapolis",44.9651,-93.17,MGR0058,Low,Rocky,True,False,2022-11-01,2025-09-14,261,36,active
SITE0156,Melbourne Quarter Tower,Karratha,Australia,Building,"441 Industrial Rd, Karratha",-20.7339,116.8036,MGR0091,High,Rocky,False,True,2022-04-27,2025-08-04,269,15,active
SITE0157,Ganga Setu Foundation Works,Bhubaneswar,India,Bridge,"85 Industrial Rd, Bhubaneswar",20.3386,85.8189,MGR0016,Medium,Flat,False,True,2022-08-21,2024-02-05,173,39,active
SITE0158,Keystone Segment 6 Prep,Dallas,USA,Pipeline,"3 Industrial Rd, Dallas",32.8293,-96.7763,MGR0082,Medium,Flat,False,False,2022-06-30,2023-10-13,156,23,active
SITE0159,New Bridge over Yarra,Newcastle,Australia,Bridge,"170 Industrial Rd, Newcastle",-32.9447,151.8578,MGR0091,High,Rocky,False,True,2022-09-04,2023-11-25,122,7,active
SITE0160,Rio Tinto Gudai-Darri Iron Ore,Melbourne,Australia,Mining,"919 Industrial Rd, Melbourne",-37.8386,144.8548,MGR0004,Low,Coastal,False,False,2022-05-20,2024-05-02,130,22,active
SITE0161,Google Kirkland Campus Phase 2,Pittsburgh,USA,Building,"67 Industrial Rd, Pittsburgh",40.4846,-79.9784,MGR0077,Medium,Rocky,True,True,2022-02-14,2023-11-24,181,37,active
SITE0162,Bengaluru-Chennai Expressway Phase 1,Bhubaneswar,India,Highway,"681 Industrial Rd, Bhubaneswar",20.3603,85.7804,MGR0007,Low,Coastal,False,True,2021-10-26,2024-09-18,483,27,active
SITE0163,Coffs Harbour Bypass,Adelaide,Australia,Highway,"683 Industrial Rd, Adelaide",-34.9409,138.5827,MGR0065,Low,Hilly,False,False,2022-04-06,2024-12-29,492,14,active
SITE0164,Berlin U-Bahn Extension U5,Berlin,Germany,Metro,"111 Industrial Rd, Berlin",52.5667,13.4375,MGR0095,High,Hilly,True,False,2022-08-04,2024-06-01,172,9,active
SITE0165,NTPC Rajasthan Ultra Mega Solar,Pune,India,Solar,"420 Industrial Rd, Pune",18.5311,73.8678,MGR0043,Low,Desert,False,False,2021-07-27,2025-01-03,704,40,active
SITE0166,Siemens Innovation Campus Erlangen,Frankfurt,Germany,Building,"373 Industrial Rd, Frankfurt",50.0534,8.7205,MGR0073,Low,Hilly,True,False,2021-01-30,2022-04-09,373,9,active
SITE0167,Coal India Talcher Coalfield Deep Extension,Hyderabad,India,Mining,"803 Industrial Rd, Hyderabad",17.4245,78.6013,MGR0092,Medium,Rocky,False,False,2021-08-15,2024-11-06,480,13,active
SITE0168,BASF Ludwigshafen Modernization,Hannover,Germany,Building,"8 Industrial Rd, Hannover",52.3994,9.7636,MGR0056,High,Hilly,True,False,2021-05-01,2023-05-12,276,31,active
SITE0169,Delhi-Meerut Expressway Package 4,Pune,India,Highway,"619 Industrial Rd, Pune",18.5443,73.8219,MGR0022,Medium,Rocky,False,False,2022-04-01,2026-02-14,227,16,active
SITE0170,Meta Prineville Data Center,Houston,USA,Building,"346 Industrial Rd, Houston",29.8229,-95.3726,MGR0089,Low,Coastal,False,False,2021-12-16,2025-01-17,533,17,active
SITE0171,ReNew Power Rajasthan Site,Pune,India,Solar,"401 Industrial Rd, Pune",18.5108,73.85,MGR0093,High,Urban,False,False,2022-02-25,2026-02-16,647,17,active
SITE0172,Microsoft Redmond Campus Refresh,Salt Lake City,USA,Building,"298 Industrial Rd, Salt Lake City",40.7575,-111.9153,MGR0094,Medium,Coastal,True,True,2021-04-06,2025-04-30,65,23,active
SITE0173,Jio World Convention Centre Phase 2,Ahmedabad,India,Building,"937 Industrial Rd, Ahmedabad",23.0333,72.5666,MGR0090,High,Urban,False,False,2021-10-01,2025-05-07,256,25,active
SITE0174,DB Frankfurt-Mannheim NBS,Cologne,Germany,Rail,"837 Industrial Rd, Cologne",50.9284,6.9848,MGR0055,Low,Urban,True,False,2021-02-03,2022-04-23,280,30,active
SITE0175,Mumbai-Nagpur Samruddhi Expressway,Raipur,India,Highway,"3 Industrial Rd, Raipur",21.2552,81.6019,MGR0084,Medium,Flat,False,True,2022-04-02,2025-06-23,300,39,active
SITE0176,Stuttgart 21 Feuerbach Tunnel,Bremen,Germany,Rail,"788 Industrial Rd, Bremen",53.0411,8.8066,MGR0087,Medium,Flat,True,False,2021-02-15,2023-11-04,528,18,active
SITE0177,LAX Terminal 9 Modernization,Los Angeles,USA,Airport,"182 Industrial Rd, Los Angeles",34.0149,-118.2846,MGR0023,Medium,Hilly,False,False,2021-10-30,2024-09-01,34,32,active
SITE0178,Ahmedabad-Dholera Expressway,Kolkata,India,Highway,"954 Industrial Rd, Kolkata",22.5324,88.3766,MGR0003,Medium,Rocky,False,False,2022-08-23,2024-05-14,193,23,active
SITE0179,A14 Nordverlaengerung,Duesseldorf,Germany,Highway,"100 Industrial Rd, Duesseldorf",51.2874,6.7909,MGR0039,Medium,Rocky,True,False,2022-06-18,2025-06-27,336,39,active
SITE0180,Munich S-Bahn Second Trunk Line,Dortmund,Germany,Metro,"68 Industrial Rd, Dortmund",51.5579,7.4618,MGR0030,Medium,Rocky,True,True,2022-11-29,2025-04-02,203,12,active
